"name","cas","dcb","code","pharmacy"
acne less,,,"13307",b
acnebiol,,,"3292",b
acnebiol,,,"38968",a
acnebiol biotec,,,"9644",c
acneol sr,,,"12502",b
acnulight (biodiversite),,,"14426",b
aconiti radix descontinuado,,,"11281",c
aconitum homeo,,,"3283",b
aconitum napellus ho,,,"4479",c
aconitum napellus homeo,,,"6184",b
acorus calamus,,,"11896",c
acquabio,,,"12379",b
actaea racemosa homeo,,,"3835",b
actaea racemosa tm,,,"6410",b
actaea spicata homeo,,,"6187",b
actea racemosa ho,,,"11050",c
acth homeo,,,"10035",b
acticinol,,,"9415",b
actifcol,,,"13994",b
actificol,,,"9703",c
actiglucan,,,"10523",c
actiglucan(pharmanostr),,,"9216",b
actigym acabou,,,"9160",a
active egcg 95%,,,"11131",b
actiwhite,,,"11729",c
actrisave,,,"12194",b
actrisave,,,"7080",c
actrisave (galena) sob enc,,,"11705",a
acucar,,,"60240",b
adapaleno,"106685409","00410","2714",b
adapaleno,"106685409","00410","5761",c
adapaleno,"106685409","00410","39587",a
adapaleno dil 1/10,,,"4035",b
adaptador oral 22 rosca 28mm,,,"8878",b
adaptador oralpack rosca 24,,,"3490",a
adaptador oralpack rosca 28,,,"3491",a
adaptador seringa dosadora 10m,,,"10041",c
adenin,,,"76510",b
adenin,,,"4800",c
adenin,,,"6692",a
adenoide homeo,,,"6190",b
adenosina,"58617","00419","6725",c
adenosina base uso externo,,,"8360",b
adifyline,,,"6526",c
adipo trap,,,"6605",c
adipo trap,,,"10915",b
adipoff,,,"9810",c
adipofill,,,"9349",b
adipofill polytechno acabou,,,"10635",a
adipogen,,,"8886",c
adipogen,,,"10489",b
adipol,,,"10985",b
adipol (corpo),,,"66771",a
adiporeguline,,,"12276",b
adlumia fungosa homeo,,,"6192",b
adrenal homeo,,,"10999",b
adrenalinum ho,,,"11917",c
adrenocorticotrophin homeo,,,"6195",b
advantra-z,,,"76569",b
aerosil,,,"50362",b
aerosil,"7631869","09428","5492",c
aerosil 13/08/21,"112926008",,"50362",a
aesculus hippo    floral,,,"3071",b
aesculus hippocastanum ho,,,"4043",c
aesculus hippocastanum homeo,,,"7811",b
aesculus hippocastanum tm,,,"8690",b
aethusa cynapium homeo,,,"6197",b
afgf,,,"3296",b
agar agar,"9002180","09547","50878",a
agar agar,,,"50878",b
agar agar  po,"9002180","09547","9697",c
agaricus blasem,,,"2961",b
agave floral (mg),,,"3477",b
ageratum floral (mg),,,"6757",b
agmatine,,,"8897",c
agmatine,,,"8282",b
agnus castus,,"10768","8471",a
agnus castus,,,"6838",c
agnus castus,,,"80780",b
agnus castus ho,,,"4695",c
agnus castus homeo,,,"8318",b
agnus castus tm,,,"6078",b
agraphis nutans homeo,,,"6200",b
agrimony  *,,,"5638",c
agrimony fl - bach,,,"21805",a
agrimony floral (bach),,,"21805",b
agua de melissa acabou,,,"12879",a
agua de rosas,,,"75085",b
agua destilada,,,"6627",c
agua micelar,,,"14912",b
agua micelar acabou,,,"12286",a
agua mineral,,,"9802",b
agua mineral minalba,,,"10919",b
agua para bochecho,,,"11868",a
agua potavel,,,"19549",a
agua purificada,"7732185","09879","60021",a
agua purificada,,,"13151",b
agua termal,,,"3912",a
agua thermal,,,"15433",b
agua thermal fornecedor,,,"8036",c
agua thermal lavanda wnf 60ml,,,"5656",b
airless black 50ml,,,"12900",b
ajidew zn-100,,,"8209",b
ajuga turkesterona,,,"7137",c
al absoluto,,,"45068",b
al cereais,,,"50490",b
al cereais,,,"50490",a
al cetilico,,,"50465",b
al etilico,,,"50477",b
al etilico (pc) policia,"64175","00475","50477",a
al etilico 70%,,,"11049",b
al isopropilico,,,"50489",b
al isopropilico (pc),,,"66333",a
alamanda (gaia),,,"14570",b
alanina - l acabou,"56417","00451","50404",a
alantoina,,,"50416",b
alantoina,"97596","00453","50416",a
alantoina,,,"5519",c
albumina acabou,,"00463","50428",a
alcachofra  floral (sg),,,"50430",b
alcachofra ext seco,"084012146","09904","33250",a
alcachofra ext seco,,,"4270",c
alcachofra ho,,,"11515",c
alcachofra saint germain,,,"7773",b
alcacuz ext seco,,,"6983",c
alcaçuz tm,,,"13411",b
alcool 10% (manip),,,"10862",b
alcool 15%,,,"9791",b
alcool 20% homeo,,,"13386",b
alcool 30% (manip),,,"9514",b
alcool 30% homeopatia,,,"10972",c
alcool 5%,,,"9987",b
alcool 70 % (manip),,,"5253",b
alcool 70%,,,"2601",b
alcool 70%,,,"60100",a
alcool 70% formulas,,,"8090",c
alcool 70% homeopatia,,,"10971",c
alcool 70% limpeza,,,"5626",c
alcool 96  puro,"64175","00475","5426",c
alcool 96% uso interno,,,"5959",b
"alcool anidro 99,8%",,,"11302",c
alcool cereais puro,,"00475","6397",c
alcool cetilico,,,"10986",b
alcool cetoestearilico,,,"1427",b
alcool etilico absoluto,,,"5040",b
alcool etilico homeo,,,"9847",b
alcool gel,,,"9226",b
alcool gel 70%,,,"10178",c
alcool gel 70% calendula,,,"10234",c
alcool gel hidratante,,,"11856",c
alcool isopropilico,,"00476","6333",c
alcool metilico,,,"5987",c
aldavine (vital),,,"2477",b
alecrim ext seco,,,"6274",c
alecrim extrato glicolico **,,,"5456",c
alecrim po,,,"61890",b
alecrim tintura *,,,"6312",c
aleluia floral (mg),,,"6758",b
alendronato de sodio,,,"39238",b
"alendronato de sodio feq 1,31",,"00097","4495",c
alendronato sodio,"121268175","00097","36511",a
alfa amilase,"9000902","09355","1463",a
alfa amilase,,,"76892",b
alfa amilase,,,"6882",c
alfa arbutin,"84380018",,"4646",b
alfa bisabolol,"23089261","05261","10601",a
alfa bisabolol,,,"5087",c
alfa estradiol,,,"4895",b
alfa estradiol dil 1/100,,,"13722",b
alfa estradiol mp ext. e oral,"57910","00510","60638",a
alfa galactosidase,,,"14809",b
alfa galactosidase 10000u/g,,,"13401",a
alfa gpc,,,"4252",c
alfa gpc,,,"7958",b
alfa metil dopa,,,"59882",b
alfa mix,,,"9100",c
alfafa homeo,,,"8557",b
alfafa tm,,,"13388",b
alfafa(falta),,,"70210",b
alfamix,,,"11350",b
alfazema tm,,,"10113",b
algas extrato glicolico,,,"6958",c
algisium,,,"49906",b
algisium c,,,"6824",c
algisium c,"128973717",,"31033",a
