"name","orgininalName","cas","dcb","code","pharmacy"
  cof,densiskin,,,12820,a
 ascorbato calcio,aspartato calcio acabou,"21059461","00109",5993,a
 belladonna homeo, belladonna homeo,,,3090,b
 chapéu de aba larga,petasites hybridus,,,11476,b
 peptideos alisma ,indufence,,,10942,b
 ubiquinol - kaneka q30,ubiquinol,"992789",,11645,c
(s)  synovea hr (s) sob enc,belides,,,8168,a
******,eps white,,,10397,c
*******,essencia mosaic levibelle,,,8516,c
********,alcool 70% formulas,,,8269,c
*********,tricho sol,,,9462,c
**********,mangostin garcinia,,,7950,c
***********,tricho sol,,,10623,c
***********,alcool 70% formulas,,,8270,c
***********,alcool 70% formulas,,,8788,c
***************,tricho sol,,,10624,c
**********************,alcool 70% formulas,,,8789,c
",",omega 3 po,,,8985,b
",",potaba,,,13240,b
",,",surfax eve,,,56984,b
.,colostro,,,14701,b
.,oli-ola,,,11466,b
.,ferro taste free 19%,,,14145,b
.,exsynutriment,,,3196,b
.,nicotinato de inositol,,,12823,b
.,magnesio treonato,,,10572,b
.,myokiron,,,13283,b
.,siliciu max,,,12207,b
.,omega 3 po,,,10759,b
.,ginseng indiano,,,11067,b
.,vegelip gel 3,,,11929,b
.,glucomannan,,,72710,b
.,betamune,,,12288,b
.,lipase,,,12261,b
.,gelatina,,,14371,b
.,beta-alanina,,,12319,b
.,ac ferulico,,,8779,b
.,ac pangamico,,,5037,b
.,ac pangamico,,,10605,b
.,luminecense out (topico),,,14089,b
.,luminecense out (topico),,,14090,b
..,siliciu max,,,11337,b
..,surfax eve,,,75401,b
...,base vitalgreen serum glucam *,,,7817,c
...,cap gastro 0 incolor,,,8113,c
....,cap gastro 0 incolor,,,8112,c
....,gel natrosol,,,10473,c
....,gel natrosol,,,10474,c
.....,iodo quelato 1%,,,8612,c
"1-bois d´inde",cha bugre acabou,,,7716,a
"17 alfa estradiol mp externo ",alfa estradiol mp ext. e oral,"57910","00510",60652,a
"17 alfaestradiol mp externo",alfa estradiol mp ext. e oral,"57910","00510",60654,a
"17 beta estradiol ",estradiol base,"50282","03595",42794,a
"17 valer betametasona ",betametasona val. puro,"2152445","01219",3412,a
"25 hidroxi vitamina d",colecalciferol oleo em liquido,,,10782,a
"25-oh vit d para caps",colecalciferol usar  p/ caps,,,11257,a
"27-doxiacteine ",cimicifuga ext seco,"84776261","10252",39419,a
"3m3 whiteris g",whiteris,,,11492,b
"5 hidroxitriptofano","5-hidroxitriptofano",,,11917,b
"5 hidroxitriptofano","5 hidroxitriptofano",,"06767",7111,c
"5 hidroxitriptofano ",hidroxitriptofano (5htp),"4350098","06767",1968,a
"5 htp ",hidroxitriptofano (5htp),"4350098","06767",40589,a
"5 htp","5 hidroxitriptofano",,"06767",7960,c
"5 htp","5-hidroxitriptofano",,,11916,b
"5 l oh triptofano ",hidroxitriptofano (5htp),"4350098","06767",1967,a
"5 piridoxal fosfato  ",piridoxal 5-fosfato,"41468251",,2194,a
"5, 29 , 199",lachesis trigonocephalus ho,,,11384,c
"5- piridoxal fosfato","5- piridoxal fosfato",,,2759,b
"5-alpha-hydroxy-laxogenin",laxosterone,,,12127,b
"5-fluoro uracil(nao temos)","5-fluoro uracil(nao temos)",,,8692,b
"5-hidroxi-triptofano","5-hidroxitriptofano",,,66679,b
"5-hidroxitriptofano","5-hidroxitriptofano",,,11918,b
"5-hidroxitriptofano","5 hidroxitriptofano",,"06767",8841,c
"5-htp","5-hidroxitriptofano",,,11919,b
"5-htp ",hidroxitriptofano (5htp),"4350098","06767",40590,a
"5-methoxy-n-acetyltryptamine",melatonina,,,12885,b
"5-mthf",metilfolato,"151533221",,9690,c
"5-mthf diluido",metilfolato 1/10,,,11288,b
"5ht ",hidroxitriptofano (5htp),"4350098","06767",3672,a
"5htp ",hidroxitriptofano (5htp),"4350098","06767",37188,a
"5htp","5-hidroxitriptofano",,,11914,b
"5mthf  ",metil folato,"151533221","09937",7989,a
"6 metilprednisolona ",metilprednisolona,"83432","05812",39227,a
"7 cloro",clordiazepoxido,"438415","02354",63812,b
"8 metoxpsoralem",metoxsalem,,,1395,b
"8mop",metoxsalem,,,1393,b
"999999",matrixyl,,,7728,c
"999999",matrixyl,,,7727,c
a fgf ,fator afgf,"106096928",,40427,a
a konjac ,glucomannan,"37220170",,40239,a
a.h.a. ,multi fruit acid 19/07/21,,,6237,a
a.montana uso externo,tint arnica exter.,,,13577,a
aa queratina p/ esmalte,queratina liquida,,,12768,a
aa2g,aa2g,,,2034,b
aa2g (s,thalaspheres vit c,"94945047",,10805,a
aakg - arginina alfacetoglutar,aakg - arginina alfacetoglutar,,,9185,b
aas ,ac acetil salicilico 01/08/21,"50782","00089",59559,a
aas,ac acetil salicilico,,,59559,b
abacate oleo,oleo de abacate,,,7203,c
abacateiro,abacateiro,,,69917,b
abacateiro ext seco,abacateiro ext seco,,,6970,c
abacateiro po,abacateiro po,,,69917,a
abacateiro tm,abacateiro tm,,,47806,b
abdoliance,remoduline,,,10517,b
abies canadensis,marapuama,,,9738,b
abies de lourdes sg,abies de lourdes sg,,,11970,b
abies nigra ch 5,abies nigra ho,,,11314,c
abies nigra ho,abies nigra ho,,,11002,c
abil quat 3272,abil quat 3272,,,13186,b
abrico f. (sg),abrico f. (sg),,,3511,b
abrotanum homeo,abrotanum homeo,,,6171,b
abrus precatorius ch 5 ,abrus precatorius ho,,,11315,c
abrus precatorius ho,abrus precatorius ho,,,10969,c
abrus precatorius homeo,abrus precatorius homeo,,,10328,b
absinthium homeo,absinthium homeo,,,6074,b
abundancia f. (sg),abundancia f. (sg),,,3515,b
ac 2 amino 3 indol propionico,triptofano,"73223","08947",39782,a
ac 3-amino 1-propanosulfonico,homotaurina,,,12883,b
ac acetico,ac acetico,,,50052,b
ac acetico  (pc-pf) policias,ac acetico  (pc-pf) policias,"64197","00086",50052,a
ac acetico glacial,ac acetico,,,44684,b
ac acetico glacial (pf)  22/06,ac acetico  (pc-pf) policias,"64197","00086",44684,a
ac acetil salicilico,ac acetil salicilico,,,50064,b
ac acetil salicilico,ac acetil salicilico 01/08/21,"50782","00089",50064,a
ac alendronico ,alendronato sodio,"121268175","00097",21670,a
ac alfa lipoico,ac tiotico,,,76685,b
ac alfa lipoico,ac alfa lipoico,"1077287","00361",1401,a
ac alfa lipoico  int ,ac alfa lipoico,"1077287","00361",10038,a
ac alfa r lipoico,ac r lipoico,,,13220,b
ac aracdonico(phd),ara (phd),,,9633,b
ac ascorbico  p/capsula ,vit c  p/capsula,"50817","00104",58841,a
ac ascorbico  revestido ,vit c  p/capsula,"50817","00104",8307,a
ac ascorbico hidrossoluvel,vit c soluvel,,,11715,b
ac ascorbico p/ creme vaginal,vit c  p/capsula,"50817","00104",12136,a
ac ascorbico revestido,vit c (revestida),,,11722,b
ac ascorbico topico,vit c topica,,,93063,b
ac ascorbico uso externo ,thalaspheres vit c,"94945047",,7147,a
ac ascorico uso oral,vit c soluvel,,,11671,b
ac aspartico,ac d aspartico,,,9630,b
ac aspartico acabou,ac aspartico sob enc,,,9450,a
ac azelaico,ac azelaico,"123999","00113",32605,a
ac azelaico,ac azelaico,,,50088,b
ac benzoico,ac benzoico,,,50090,b
ac benzoico  (pc-pf) policias,ac benzoico  (pc-pf) acabou,"65850","00115",50090,a
ac borico,ac borico,,,50118,b
ac borico,ac borico (pc - pf) policias,"10043353","00116",13632,a
ac borico (pc - pf) policias,ac borico (pc - pf) policias,"10043353","00116",50118,a
ac caprico caprilico,tcm oleoso,,,82466,b
ac caprilico triglicerideos,triglicerideos caprico/capril,,,5482,a
ac citrico,ac citrico,"77929","00134",50120,a
ac citrico,ac citrico,,,50120,b
ac citrico a 20% p/ ph,sol ac citrico 20% p/ ph,,,2583,a
ac citrico p/ ph,sol ac citrico 20% p/ ph,,,2584,a
ac citrico qsp ph 5,ac citrico,,,11022,b
ac citrico qsp ph 6,ac citrico,,,44416,b
ac cloridrico,ac cloridrico,"7647010","00150",50131,b
ac clorogenico 70%,cafe verde ext seco,,,11324,b
ac colico,bitartarato colina,,,54288,b
ac d aspartico ,ac aspartico sob enc,,,9452,a
ac d aspartico,ac d aspartico,,,8815,b
ac dimercaptossuccínico ,dmsa,,,10483,b
ac dioico,o.d.a.white,,,10580,b
ac dioico (s) ,melawhite,,,8517,a
ac editico,edta dissodico,"6381926","0173",21678,a
ac edta,edta,,,58531,b
ac elagico,pomegranate,,,4286,b
ac elagico 40%,pomegranate,,,4287,b
ac elagico interno ,pomegranate ext seco,"476664",,60584,a
ac elagico(pomegranate) ,pomegranate ext seco,"476664",,40983,a
ac etilenodiaminotetr,edta,,,59638,b
ac etilenodiaminotetr,edta dissodico,"6381926","0173",59638,a
ac fenico,ac fenico,,,53569,b
ac ferrulico ,ac ferulico,"1135246",,9798,a
ac ferulico,ac ferulico,"1135246",,37929,a
ac ferulico 04/02/2021,ac ferulico,"1135246",,37929,a
ac fitico,ac fitico,"83863","00188",2358,a
ac fitico,ac fitico,,,70993,b
ac fitico acabou,ac fitico,"83863","00188",2358,a
ac folico,ac folico diluido 1/10,,,4102,b
ac folico (diluido)  ,acido folico dil 1:10,,,2588,a
"ac folico < 1,5mg   ",acido folico dil 1:10,,,4523,a
ac folico > 2mg  ,ac folico mp+ q.2 mg,"59303","00194",4521,a
ac folico diluido  ,acido folico dil 1:10,,,2586,a
ac folico diluido 1/10,ac folico diluido 1/10,,,3914,b
ac folico dr. sergio makabe  ,acido folico dil 1:10,,,5359,a
ac folico em mcg   ,acido folico dil 1:10,,,5315,a
ac folico metilfolato,metilfolato 1/10,,,10539,b
ac folico mp+ q.2 mg,ac folico mp+ q.2 mg,"59303","00194",50155,a
ac folico p/ capsulas (diluid ,acido folico dil 1:10,,,2587,a
ac folico puro,ac folico puro,,,50155,b
ac folinico,ac folinico,,,336,b
ac folinico    ,folinato calcio 20/07/2021,"1492188","00197",4965,a
ac folinico 1/100,ac folinico 1/100,,,12508,b
ac fulvico,ac fulvico,,,8300,b
ac gamaaminobutirico,gaba,,,62868,b
ac gamaminobutirico,gaba,"56122","00099",62868,a
ac glicirizico,ac glicirizico,,,6622,b
ac glicirrhizico,ac glicirizico,,,6749,b
ac glicirrhizico  ,ac glicirrizico,"1405863",,6749,a
ac glicirrizico,ac glicirrizico,"1405863",,6622,a
ac glicolico,ac glicolico,,,60835,b
ac glicolico,ac glicolico,"79141","09572",60835,a
ac glutamico,ac glutamico,"56860","00230",50180,a
ac glutamico,ac glutamico,,,50180,b
ac graxos essenciais - topico,ol framboesa acabou,"84929760",,60370,a
ac hialuronico,ac hialuronico,,,9313,b
ac hialuronico 1/100 externo,ac hialuronico 1/100 externo,,,12797,b
ac hialuronico baixissimo peso,oligo ha,,,14608,b
ac hialuronico baixo p molecul,hyaxel,,,5439,b
ac hialuronico pó,ac hialuronico pÓ,"9067327","00233",42813,a
ac hialuronico po uso interno,ac hialuronico po uso interno,,,3946,b
ac hialuronico topico,ac hialuronico topico,,,63319,a
ac hialuronico uso ext,acido hialuronico uso externo,,,10419,c
ac hialuronico uso interno,ac hialuronico pÓ,"9067327","00233",2930,a
ac hidroxicitrico 60%,citrimax,,,10656,b
ac kojico,ac kojico,"501304",,2161,a
ac kojico,ac kojico,,,2161,b
ac kojico di palmitato,di palmitato de ac kojico,,,14053,b
ac kojico dipalmtato,ac kojico dipalmtato,"79725987",,60806,a
ac kojico dipalmtato acabou,ac kojico dipalmtato,"79725987",,60806,a
ac kojico nano encapsulado,nano ac kojico,,,14678,b
ac l ascorbico p/capsula ,vit c  p/capsula,"50817","00104",39088,a
ac lactico,ac lactico,"50215","00274",50209,a
ac lactico,ac lactico,,,70520,b
ac lactobionico,ac lactobionico,,,5134,b
ac latico ,ac lactico,"50215","00274",2780,a
ac latico+camelia s leaf,fruit bio,,,15357,b
ac linoleico,vit f  hidrossoluvel,,,1280,b
ac linoleico conjugado,cla,,,1514,b
ac lipoico,ac tiotico,,,70919,b
ac lipoico ,ac alfa lipoico,"1077287","00361",27043,a
ac lipoico   interno ,ac alfa lipoico,"1077287","00361",10037,a
ac madecassico,asiaticoside,,,60872,b
ac malico,ac malico,,,97974,b
ac malico,ac malico,"617481","09396",6116,c
ac malico acabou,ac malico,"6915157","9396",97974,a
ac malico sob enc,ac malico,"6915157","9396",97974,a
ac mandelico,ac mandelico 11/08/21,"90642","00282",50210,a
ac mandelico,ac mandelico,,,50210,b
ac mefenamico,ac mefenamico,,,5800,b
ac mefenamico acabou,ac mefenamico acabou,"61687","00286",5800,a
ac mercaptaceptico (cuid dose),ac tioglicolico,,,5715,a
ac mercaptoacetico,ac tioglicolico,,,5507,b
ac nano tioglicolico,nano thioglycolic acid,,,13957,b
ac net (s) ,acnebiol,,,7805,a
ac nicotinico,niacina,"59676","00296",8847,c
ac nicotinico *,ac nicotinico *,,,50222,b
ac nicotinico 08/03/21,ac nicotinico,"59676","00296",50222,a
ac nicotinico acabou,ac nicotinico,"59676","00296",50222,a
ac nitrico fumegante,ac nitrico pa,,,8268,b
ac nitrico pa,ac nitrico pa,,,8256,b
ac noretisterona puro,noretisterona acet.,"51989","06492",1435,a
ac ortohidroxibenzoico,ac salicilico,,,62418,b
ac ortohidroxibenzoico ,ac salicilico,"69727","00340",62418,a
ac ortosilicico estabilizado ,exsynutriment,,,8221,a
ac ortosilicico estabilizado,exsynutriment,,,5598,b
ac pangamico,ac pangamico,,,50854,b
ac pangamico acabou,ac pangamico acabou,,,50854,a
ac pantotenico  ,pantotenato de calcio,"137086","00317",54707,a
ac pantotenico,pantotenato calcio,,,54707,b
ac paraaminobenzoico,ac paraaminobenzoico,"150130","00098",7095,c
ac paraminobenzoico ,paba,"150130","00098",58257,a
ac paraminobenzoico *,ac paraminobenzoico *,,,50246,b
ac piruvico,ac piruvico,,,4641,b
ac prop 6-met-2 naftil,naproxen,,,72916,b
ac prop 6-met-2 naftil ,naproxeno base,"22204531","06233",72916,a
ac r lipoico,ac r lipoico,,,13669,b
ac retinoico,ac retinoico diluido 1:100,,,2605,a
ac retinoico,ac retinoico diluido,,,4070,b
ac retinoico,ac retinoico puro,"302794","08848",1714,b
ac retinoico,acido retinoico 1:100,"302794","08848",10408,c
"ac retinoico a 0,1% 100ml",tretinoina mp,"302794","08848",7749,a
ac retinoico diluido,ac retinoico diluido,,,3915,b
ac retinoico diluido 1:100,ac retinoico diluido 1:100,,,2598,a
ac retinoico diluido 1:100,acido retinoico 1:100,"302794","08848",8167,c
ac retinoico para pelling ,tretinoina mp,"302794","08848",2520,a
ac retinoico puro ,tretinoina mp,"302794","08848",2518,a
ac retinoico puro,ac retinoico puro,"302794","08848",50260,b
ac sal +zinco +enx. sol+ ex.bo,acneol sr,,,13599,b
ac salicilico,ac salicilico,,,50283,b
ac salicilico,ac salicilico,"69727","00340",50283,a
ac salicilico  para esmalte,saliskin hair acabou,,,13612,a
ac salicilico + silicio,capilissil hc,,,15334,b
ac salicilico p/ shampoo,saliskin hair acabou,,,13625,a
ac salicilico soluvel,saliskin hair acabou,,,13145,a
ac sulfuricum ho,ac sulfuricum ho,,,11036,c
ac tanico,ac tanico,"1401554","00349",50313,a
ac tartarico,ac tartarico,"87694","00350",50325,a
ac tartarico,ac tartarico,,,50325,b
ac tartarico,acido tartarico 50%,,,11249,c
ac tioctico,ac alfa lipoico,"1077287","00361",10723,a
ac tioglicol,ac tioglicolico,,,961,b
ac tioglicolico,ac tioglicolico,,,960,b
ac tioglicolico,ac tioglicolico,,,23137,a
ac tioglicolico 10/04/21,ac tioglicolico,,,23137,a
ac tiotico ,ac alfa lipoico,"1077287","00361",62303,a
ac tiotico,ac tiotico,,,62303,b
ac tranexamico,ac tranexamico,"1197188","00365",42989,a
ac tranexamico,ac tranexamico,,,5261,b
ac tricloroacetico,ac tricloroacetico,,,50337,b
ac urico,ureia,,,59018,b
ac ursodesoxicolico,ac ursodesoxicolico,"128132","00369",8816,a
ac ursodesoxicolico,ac ursodesoxicolico,,,14309,b
ac ursolico 50%,lifesolic,,,13530,a
ac ursolico a 50%,lifesolic,,,11457,b
ac. ascorbico para liq. ,vit c soluvel po nao revestida,,,12098,a
acácia-branca,moringa oleifera,,,11255,b
acafrao,curcumin ext seco,"458377","11511",13655,a
açafrao <500mg,curcumim,"458377","11511",10370,c
açafrao >500mg,aÇafrÃo po,,"10823",10338,c
açafrao abaixo de 500mg,curcumim,"458377","11511",7922,c
acafrao da india,tumeric extrato,,,7913,b
acafrao da terra ,tumeric extrato,,,7911,b
acafrao es,acafrao ext seco,,"10823",11115,a
acafrao ext seco,acafrao ext seco,,"10823",50003,a
açafrao ext seco,curcumin ext seco,"458377","11511",13607,a
açafrão po,aÇafrÃo po,,"10823",10337,c
açafrão site,aÇafrÃo po,,"10823",10491,c
açai  ext seco,aÇai  ext seco,,,5603,b
acai ext seco,aÇai  ext seco,,,5737,b
açai ext seco,aÇai ext seco,,,6930,c
acai ext seco acabou,acai ext seco,,,12434,a
açai ext. seco,acai ext seco,,,12435,a
acarbose,acarbose,,,8283,b
acarbose acabou,acarbose acabou,"56180940","00017",1579,a
acariçoba,centella asiatica extrato seco,,,12061,c
acaros homeo,acaros homeo,,,5970,b
ace 30 active cassis acabou,groselha negra acabou,,,11037,a
ace-30,groselha negra,,,10402,b
acebiol  ,asebiol,,,3177,a
aceclofenaco,aceclofenaco,"89796996","00027",1990,a
aceclofenaco,aceclofenaco,,,40540,b
acefylline methylsilanol mannu,xantalgosil,,,1800,b
acessulfame k,acessulfame k,,,8569,c
acesulfame k,acesulfame k,,,1017,b
acet dexametasona mp topico,dexametasona acet.top.,"1177873","02819",4741,a
acet metilprednisolona,prednisolona *,,,64920,b
acet. medroxiprogesterona,medroxiprogesterona ac.,"71589","05563",13129,a
acetaminofem,acetaminofem,,,50015,b
acetaminofen,paracetamol (pf) policia,"103902","06827",10012,a
acetaminofeno,paracetamol (pf) policia,"103902","06827",10013,a
acetamionofeno **,paracetamol,,"06827",7683,c
acetato alfa tocoferol,vit e,,,71640,b
acetato alfa tocoferol capsula,vit e acetato po,"52225204","09341",71640,a
acetato calcio pa,acetato calcio pa,"62544","09629",7556,a
acetato ciproterona,ciproterona,,,61785,b
acetato de calcio,acetato calcio pa,"62544","09629",12912,a
acetato de calcio,acetato de calcio,,,75036,b
acetato de ciproterona,ciproterona acetato,,,7562,c
acetato de dexametasona,dexametasona acetato,,"02819",7306,c
acetato de noretisterona,noretisterona acet.,"51989","06492",3046,a
acetato de noretisterona,noretisterona   1/100,,,8791,b
acetato de retinila po,vitamina a acetato po,"127479","07694",9841,c
acetato de retinol ,vit a acetato uso interno,"127479","07694",11304,a
acetato de retinol po,vitamina a acetato po,"127479","07694",9842,c
acetato de tocoferol po,vitamina e po acetato 50%,"52225204","09341",7788,c
acetato de vitamina e po,vitamina e po acetato 50%,"52225204","09341",7523,c
acetato de zinco,acetato de zinco sob enc,,,5634,a
acetato de zinco 15/04/21,acetato de zinco sob enc,,,5634,a
acetato hidrocortisona,hidrocortisona acetato,"50033","04666",59675,a
acetato hidrocortisona,hidrocortisona *,,,59675,b
acetato medroxiprogest,medroxiprogesterona,,,10870,b
acetato medroxiprogesterona,medroxiprogesterona ac.,"71589","05563",13128,a
acetato progesterona,progesterona,,,9131,b
acetato retinol,vit a,,,35439,b
acetato retinol  ,vit a acetato uso interno,"127479","07694",5935,a
acetato retinol uso int,vit a acetato uso interno,"127479","07694",35439,a
acetato tocoferol,vit e,,,1971,b
acetato tocoferol p/capsula,vit e acetato po,"52225204","09341",1971,a
acetato tocoferol uso topico,vit e   uso topico,,,39517,a
acetato vitamina e oleo,vit e   uso topico,,,35848,a
acetato zinco,acetato zinco,,,63411,b
acetato zinco ,acetato de zinco sob enc,,,7118,a
acethylmethionyl methylsilanol,methyosilane 17/07/21,"131216836",,5951,a
acetil carnitina hcl,acetil l carnitina,"5080502",,8774,a
acetil cisteina,n acetil cisteina,"616911","00067",8445,c
acetil hexapeptideo,argireline,,,2839,b
acetil hexapeptideo ,argireline,"122996",,3337,a
acetil hexapeptideo 3,argireline,"122996",,3338,a
acetil l carnitina,acetil l carnitina,,,80639,b
acetil l carnitina,acetil l carnitina,"5080502",,35889,a
acetil l carnitina,l acetyl carnitina,"5080502",,10453,c
acetil l cisteina,n acetil cisteina,"616911","00067",7709,c
acetil metionilada metil silan,methyosilane 17/07/21,"131216836",,5955,a
acetil metionina+silicio topic,methyosilane,,,15336,b
acetilcisteina ,n acetil l cisteina,"616911","00067",20596,a
acetilcisteina sodica ,n acetil l cisteina,"616911","00067",20597,a
acetilmetionato de metilsilane,methyosilane,,,15335,b
acetilmetionato metilsilanetri,methyosilane 17/07/21,"131216836",,5958,a
aceton. fluocinolona diluido,fluocinolona topico,,,4445,a
acetona,acetona pa (pc-pf) d2 policias,,,3259,a
acetona,acetona,"67641","00078",50040,b
acetona,acetona,,,4705,c
acetona pa (pc-pf) d2 policias,acetona pa (pc-pf) d2 policias,,,4861,a
acetonido fluocinolona topico,fluocinolona topico,,,4505,a
acetylcysteine,n acetilcisteina,,,12846,b
achillea millefolium tm,achillea millefolium tm,,,12151,b
achromaxyl,achromaxyl,,,8747,b
aciclovir po,aciclovir po,,,80561,b
acid bifid bulgar casei rhamon,probacillus,,,11211,b
ácido 5'-uridílico,uridine 5 fosfato,,,13199,b
acido a. lipoico ,ac alfa lipoico,"1077287","00361",2792,a
acido acetico 22/06/2020,ac acetico  (pc-pf) policias,"64197","00086",2992,a
acido acetico glacial,acido acetico glacial,,"00086",6654,c
acido acetico glacial 22/06/20,ac acetico  (pc-pf) policias,"64197","00086",2991,a
acido acetil salicilico,acido acetil salicilico,,,9185,c
acido acetil salicilico ,ac acetil salicilico 01/08/21,"50782","00089",2990,a
acido alendronico ,alendronato sodio,"121268175","00097",2997,a
acido alfa lipoico,ac alfa lipoico,"1077287","00361",2783,a
acido alfa lipoico,acido alfa lipoico,,,4321,c
acido alfa r lipoico,acido alfa r lipoico,,,8343,c
acido aminobenzoico,paba,"150130","00098",6678,a
acido aminotanesulfonico ,taurina,"107357","08306",10282,a
acido aracdonico(phd),ara (phd),,,9632,b
acido ascorbico caps,vitamina c revestida caps,"50817","00104",7630,c
acido ascorbico p/ cr facial ,thalaspheres vit c,"94945047",,5218,a
acido aspartico,ac d aspartico,,,9253,b
acido azelaico,acido azelaico,,"00113",6979,c
acido azelaico  ,ac azelaico,"123999","00113",3019,a
acido benzoico ,ac benzoico  (pc-pf) acabou,"65850","00115",3014,a
acido boracico **,acido borico,,"00116",7815,c
acido borico,acido borico,,"00116",6982,c
acido borico ,ac borico (pc - pf) policias,"10043353","00116",3020,a
acido caprilico po,tcm po,,,9267,c
acido citrico,acido citrico,,"00134",6833,c
acido citrico ,ac citrico,"77929","00134",3022,a
acido citrico 50% *,acido citrico 50% *,,,5119,c
acido citrico 55%,acido citrico 55%,,,9326,c
acido cloridrico,acido cloridrico,,,4715,c
acido clorogenico uso int ,green coffe uso interno,,,12701,a
acido d aspartico,ac d aspartico,,,5235,b
acido d aspartico,acido d aspartico,"1783966","00108",4227,c
acido do leite,acido lactico,,"00274",7381,c
acido elagico externo,tintura roma,,,11481,c
acido elagico pomegranate,roma ext seco,,,11147,c
acido ferulico ,ac ferulico,"1135246",,3034,a
acido ferulico,ac ferulico,,,5628,b
acido fitico ,ac fitico,"83863","00188",2775,a
acido fitico,acido fitico 50%,,,11817,c
acido fitico 50%,acido fitico 50%,,,5014,c
acido folico,acido folico,,,5225,c
acido folico >2mg ,ac folico mp+ q.2 mg,"59303","00194",4101,a
acido folico dil 1:10,acido folico dil 1:10,,,2585,a
acido folinico,acido folinico,,,4973,c
acido folinico ,folinato calcio 20/07/2021,"1492188","00197",2776,a
acido fosfatidico,phosfator,,,8594,c
acido fosforico 85%,acido fosforico 85%,,"00199",6668,c
acido galactico,acido lactico,,"00274",7380,c
acido gama amino butirico **,gaba,"56122","00099",7580,c
acido glicirrhizico **,acido glicirrhizico **,,,6769,c
acido glicolico  ,ac glicolico,"79141","09572",2777,a
acido glicolico,acido glicolico,,"09572",5434,c
acido glutamico,ac glutamico,"56860","00230",3035,a
acido glutamico **,acido glutamico **,,"00230",6968,c
acido hialuronico capsulas,acido hialuronico capsulas,,,4145,c
acido hialuronico e silanol,hyaxel,,,11427,b
acido hialuronico topico ,ac hialuronico topico,,,3036,a
acido hialuronico uso externo,acido hialuronico uso externo,,,6869,c
acido kojico,acido kojico 1:3,,,11816,c
acido kojico 1:3,acido kojico 1:3,,,11699,c
acido kojico diluido,acido kojico 1:3,,,11815,c
acido lactico,acido lactico,,"00274",5603,c
acido lactico ,ac lactico,"50215","00274",2778,a
acido latico,acido lactico,,"00274",8371,c
acido lipoico,acido alfa lipoico,,,7987,c
acido lipoico ,ac alfa lipoico,"1077287","00361",2790,a
acido malico  ,ac malico,"6915157","9396",3040,a
acido malico,ac malico,"617481","09396",7255,c
acido mandelico,acido mandelico,,"00282",6851,c
acido mandelico ,ac mandelico 11/08/21,"90642","00282",3041,a
acido mefenamico ,ac mefenamico acabou,"61687","00286",3043,a
acido nicotinico ,ac nicotinico,"59676","00296",3044,a
acido nitrico,acido nitrico 65%,,,7256,c
acido nitrico 65%,acido nitrico 65%,,,4945,c
acido ortoborico **,acido borico,,"00116",7816,c
acido ortofosforico,acido fosforico 85%,,"00199",7808,c
acido ortosilicico,biosil,,,9290,c
acido ortosilicico,siliciu max,,,11336,b
acido ortosilicico (sin),nutricolin,"10193369",,11700,a
acido ortosilicico estabilizad,exsynutriment,,,8223,a
acido ortosilicico estabilizad,exsynutriment,,,5597,b
acido pangamico ,ac pangamico acabou,,,3049,a
acido pantotenico  ,pantotenato de calcio,"137086","00317",2888,a
acido pantotenico,pantotenato de calcio,,,7984,c
acido paraminobenzoico,paba,"150130","00098",2919,a
acido r alfa lipoico sodico,ac r lipoico,,,13221,b
acido retinoico,ac retinoico diluido 1:100,,,2602,a
acido retinoico 1:100,acido retinoico 1:100,"302794","08848",6731,c
acido retinoico puro ,tretinoina mp,"302794","08848",2519,a
acido retinoico puro-não usar,acido retinoico puro-nÃo usar,"302794","08848",4354,c
acido salicilico,acido salicilico,,"00340",5601,c
acido salicilico ,ac salicilico,"69727","00340",3048,a
acido salicilico 4d p. ho,acido salicilico 4d p. ho,,,7704,b
acido sialico,acido sialico,,,9686,c
acido silicico estabilizado,exsynutriment,,,1215,b
acido sulfurico homeo,acido sulfurico homeo,,,5963,b
acido tanico ,ac tanico,"1401554","00349",3052,a
acido tartarico,ac tartarico,"87694","00350",3053,a
acido tartarico 50%,acido tartarico 50%,,,9327,c
acido tioglicolico  ,ac tioglicolico,,,3055,a
acido tranexamico,ac tranexamico,"1197188","00365",3062,a
acido tranexamico,acido tranexamico,,,6615,c
acido tricarboxilico *,acido citrico,,"00134",7806,c
acido tricloroacetico,acido tricloroacetico,,"00366",6687,c
acido ursodesoxicolico,acido ursodesoxicolico,"128132","00369",8838,c
acido ursodesoxicolico ,ac ursodesoxicolico,"128132","00369",11007,a
acido ursolico,lifesolic,,,8014,c
acidos frutais,multi fruit acid 19/07/21,,,6234,a
acidum aceticum homeo,acidum aceticum homeo,,,5971,b
acidum benzoicum homeo,acidum benzoicum homeo,,,5973,b
acidum hippuricum homeo,acidum hippuricum homeo,,,9809,b
acidum hydrocyanicum homeo,acidum hydrocyanicum homeo,,,6147,b
acidum lacticum homeo,acidum lacticum homeo,,,6148,b
acidum muriaticum homeo,acidum muriaticum homeo,,,5978,b
acidum nitricum  ho,acidum nitricum  ho,,,4638,c
acidum nitricum 4ch,acidum nitricum 4ch,,,7775,b
acidum nitricum ch5,acidum nitricum  ho,,,12106,c
acidum nitricum homeo,acidum nitricum homeo,,,5979,b
acidum oxalicum homeo,acidum oxalicum homeo,,,8329,b
